HR	RBI																
62	131																
46	94																
40	80																
40	131																
38	93																
37	97																
36	94																
35	115																
35	82																
35	89																
34	103																
34	95																
33	83																
33	89																
32	75																
32	102																
32	97																
31	78																
31	87																
31	98																
30	103																
30	107																
30	79																
29	102																
29	126																
29	72																
28	57																
28	87																
28	51																
28	75																
27	76																
27	88																
27	101																
27	62																
27	62																
27	76																
27	74																
27	63																
26	107																
26	83																
25	76																
25	66																
25	77																
25	96																
25	73																
24	68																
24	76																
24	87																
24	93																
23	76	
															
																	
																	
																	
																	
																	
																	
																	
																	
																	
