Year	Season	INEEL Canis	INEEL Lepus	INEEL Rabbits	INEEL Peromyscus	INEEL Perognathus	INEEL Dipodomys ordii	INEEL Tamias	INEEL Spermophilus	CV Canis	CV Lepus 	CV Peromyscus	CV Reithrodontomys	CV Onychomys	CV Perognathus	CV Dipodomys ordii	CV Dipodomys microps	CV Tamias	CV Ammospermophilus
1962	Fall	-999	-999	-999	-999	-999	-999	-999	-999	-999	9.7	-999	-999	-999	-999	-999	-999	-999	-999
1963	Spring	-999	-999	-999	-999	-999	-999	-999	-999	-999	7.0	-999	-999	-999	-999	-999	-999	-999	-999
1963	Fall	-999	-999	-999	-999	-999	-999	-999	-999	7.5	23.4	-999	-999	-999	-999	-999	-999	-999	-999
1964	Spring	-999	-999	-999	-999	-999	-999	-999	-999	-999	9.0	-999	-999	-999	-999	-999	-999	-999	-999
1964	Fall	-999	-999	-999	-999	-999	-999	-999	-999	6.4	16.8	-999	-999	-999	-999	-999	-999	-999	-999
1965	Spring	-999	-999	-999	-999	-999	-999	-999	-999	-999	9.3	-999	-999	-999	-999	-999	-999	-999	-999
1965	Fall	-999	-999	-999	-999	-999	-999	-999	-999	6.3	12.0	-999	-999	-999	-999	-999	-999	-999	-999
1966	Spring	-999	-999	-999	-999	-999	-999	-999	-999	-999	6.4	-999	-999	-999	-999	-999	-999	-999	-999
1966	Fall	-999	-999	-999	-999	-999	-999	-999	-999	4.3	9.8	-999	-999	-999	-999	-999	-999	-999	-999
1967	Spring	-999	-999	-999	-999	-999	-999	-999	-999	-999	3.4	-999	-999	-999	-999	-999	-999	-999	-999
1967	Fall	-999	-999	-999	-999	-999	-999	-999	-999	2.1	4.3	-999	-999	-999	-999	-999	-999	-999	-999
1968	Spring	-999	-999	-999	-999	-999	-999	-999	-999	-999	4.8	-999	-999	-999	-999	-999	-999	-999	-999
1968	Fall	-999	-999	-999	-999	-999	-999	-999	-999	1.4	25.9	-999	-999	-999	-999	-999	-999	-999	-999
1969	Spring	-999	-999	-999	-999	-999	-999	-999	-999	-999	40.1	-999	-999	-999	-999	-999	-999	-999	-999
1969	Fall	-999	-999	-999	-999	-999	-999	-999	-999	2.4	55.0	-999	-999	-999	-999	-999	-999	-999	-999
1970	Spring	-999	-999	-999	-999	-999	-999	-999	-999	-999	36.1	-999	-999	-999	-999	-999	-999	-999	-999
1970	Fall	-999	-999	-999	-999	-999	-999	-999	-999	5.2	85.0	-999	-999	-999	-999	-999	-999	-999	-999
1971	Spring	-999	-999	-999	-999	-999	-999	-999	-999	-999	53.2	-999	-999	-999	-999	-999	-999	-999	-999
1971	Fall	-999	-999	-999	-999	-999	-999	-999	-999	8.2	79.4	-999	-999	-999	-999	-999	-999	-999	-999
1972	Spring	-999	-999	-999	-999	-999	-999	-999	-999	-999	35.9	-999	-999	-999	-999	-999	-999	-999	-999
1972	Fall	-999	-999	-999	-999	-999	-999	-999	-999	15.1	31.6	-999	-999	-999	-999	-999	-999	-999	-999
